Id,Label,ATT&CK id,ATT&CK Tactic,Source,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Detection Present,Mitigation Present
21,runs check.exe on file server to conduct Discovery for remote hosts,T1018,Discovery,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,6,0.297297,0.384848,99,N,N
22,RDPs to backup server,T1021.001,Lateral Movement,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,5,0.384615,0.536667,100,N,N
23,deploys GhostSOCKS proxy,T1090.001,Command and Control,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,0,0,0,0,N,N
24,creates scheduled tasks for persistence,T1053.005,Persistence,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,0,0,0,0,N,N
25,uses Internet Explorer on the file server to access several temporary file-sharing sites,T1567.002,Exfiltration,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,0,0,0,0,N,N
26,uses rclone for exfil,T1048,Exfiltration,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,1,1,1,11,N,N
27,uses FTP for exfil,T1048,Exfiltration,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,0,0,0,0,N,N
31,accesses NTDS.dit,T1003.003,Credential Access,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,0,0,0,0,N,N
29,exfils to mega.io with rclone,T1071.001,Command and Control,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,0,0,0,0,N,N
30,reviews DNS configs with DNS Manager on DC,T1018,Discovery,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,0,0,0,0,N,N
32,runs PowerShell script on file server to extract creds from backup software,T1555,Credential Access,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,0,0,0,0,N,N
33,drops multiple batch scripts designed to automate ransomware deployment,T1105,Command and Control,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,4,0.4375,0.559524,77,N,N
34,uses PsExec to deploy ransomware laterally,T1105,Command and Control,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,3,0.555556,0.666667,30,N,N
35,uses BITSAdmin to deploy ransomware laterally,T1105,Command and Control,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,3,0.555556,0.666667,30,N,N
36,executes ransomware remotely with WMI,T1486,Impact,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,1,1,1,8,N,N
37,executes ransomware remotely with PsExec,T1486,Impact,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,1,1,1,8,N,N
38,uses scripts to disable Defender across the network,T1562.001,Defense Evasion,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,2,0.75,0.833333,21,N,N
39,uses scripts to modify RDP settings across the network,T1562,Defense Evasion,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,2,0.75,0.833333,21,N,N
